3dfffffc_3eb504f200000000_10000_0 | 3eb504f2_1
3dfffffe_3eb504f300000000_10000_0 | 3eb504f3_1
3dffffff_3eb504f300000000_10000_0 | 3eb504f3_1
4e800005_4700000300000000_10000_0 | 47000003_1
3dfffffd_3eb504f300000000_10000_0 | 3eb504f3_1
5100fff0_4835b99300000000_10000_0 | 4835b993_1
3dfffffb_3eb504f200000000_10000_0 | 3eb504f2_1
35c08000_3a9cf8aa00000000_10000_0 | 3a9cf8aa_1
3dfffff7_3eb504f100000000_10000_0 | 3eb504f1_1
3dffffef_3eb504ee00000000_10000_0 | 3eb504ee_1
37c00007_3b9cc47400000000_10000_0 | 3b9cc474_1
3dffffdf_3eb504e800000000_10000_0 | 3eb504e8_1
3dffffbf_3eb504dd00000000_10000_0 | 3eb504dd_1
3dffff7f_3eb504c600000000_10000_0 | 3eb504c6_1
3e054365_3eb8b41b00000000_10000_0 | 3eb8b41b_1
3dfffeff_3eb5049900000000_10000_0 | 3eb50499_1
3dfffdff_3eb5043e00000000_10000_0 | 3eb5043e_1
3efff7c0_3f35020900000000_10000_0 | 3f350209_1
3dfffbff_3eb5038900000000_10000_0 | 3eb50389_1
41689882_4074047700000000_10000_0 | 40740477_1
3dfff7ff_3eb5021f00000000_10000_0 | 3eb5021f_1
407fc003_3fffe00000000000_10000_0 | 3fffe000_1
3dffefff_3eb4ff4b00000000_10000_0 | 3eb4ff4b_1
3dffdfff_3eb4f9a300000000_10000_0 | 3eb4f9a3_1
3dffbfff_3eb4ee5100000000_10000_0 | 3eb4ee51_1
3dff7fff_3eb4d7ac00000000_10000_0 | 3eb4d7ac_1
407ff9ff_3ffffd0000000000_10000_0 | 3ffffd00_1
3dfeffff_3eb4aa5a00000000_10000_0 | 3eb4aa5a_1
3dfdffff_3eb44f9400000000_10000_0 | 3eb44f94_1
3dfbffff_3eb3997d00000000_10000_0 | 3eb3997d_1
3df7ffff_3eb22b2000000000_10000_0 | 3eb22b20_1
3ac003ff_3d1cc61300000000_10000_0 | 3d1cc613_1
3defffff_3eaf456f00000000_10000_0 | 3eaf456f_1
3ddfffff_3ea953fd00000000_10000_0 | 3ea953fd_1
3dbfffff_3e9cc47100000000_10000_0 | 3e9cc471_1
3f000fdf_3f35102c00000000_10000_0 | 3f35102c_1
3d9fffff_3e8f1bbd00000000_10000_0 | 3e8f1bbd_1
3e0be2b9_3ebd3cba00000000_10000_0 | 3ebd3cba_1
3d8fffff_3e87c3b600000000_10000_0 | 3e87c3b6_1
3d87ffff_3e83f07b00000000_10000_0 | 3e83f07b_1
4f0c24d2_473d696b00000000_10000_0 | 473d696b_1
3d83ffff_3e81fc1000000000_10000_0 | 3e81fc10_1
3d81ffff_3e80ff0200000000_10000_0 | 3e80ff02_1
3d80ffff_3e807fc000000000_10000_0 | 3e807fc0_1
3d807fff_3e803ff000000000_10000_0 | 3e803ff0_1
4e000083_46b5055000000000_10000_0 | 46b50550_1
3d803fff_3e801ffc00000000_10000_0 | 3e801ffc_1
3d801fff_3e800fff00000000_10000_0 | 3e800fff_1
3d800fff_3e80080000000000_10000_0 | 3e800800_1
3d8007ff_3e80040000000000_10000_0 | 3e800400_1
627ffffa_50fffffd00000000_10000_0 | 50fffffd_1
3d8003ff_3e80020000000000_10000_0 | 3e800200_1
44000fdf_41b5102c00000000_10000_0 | 41b5102c_1
3d8001ff_3e80010000000000_10000_0 | 3e800100_1
33ff03fe_39b4abc500000000_10000_0 | 39b4abc5_1
3d8000ff_3e80008000000000_10000_0 | 3e800080_1
3d80007f_3e80004000000000_10000_0 | 3e800040_1
0100001e_2035050900000000_10000_0 | 20350509_1
3d80003f_3e80002000000000_10000_0 | 3e800020_1
4ef87ffe_4732591500000000_10000_0 | 47325915_1
3d80001f_3e80001000000000_10000_0 | 3e800010_1
3d80000f_3e80000800000000_10000_0 | 3e800008_1
3d800007_3e80000400000000_10000_0 | 3e800004_1
3d800003_3e80000200000000_10000_0 | 3e800002_1
3e000000_3eb504f400000000_10000_0 | 3eb504f4_1
3e000001_3eb504f400000000_10000_0 | 3eb504f4_1
41000801_40350a9c00000000_10000_0 | 40350a9c_1
3e000002_3eb504f500000000_10000_0 | 3eb504f5_1
3e000004_3eb504f700000000_10000_0 | 3eb504f7_1
3e000008_3eb504f900000000_10000_0 | 3eb504f9_1
3e000010_3eb504ff00000000_10000_0 | 3eb504ff_1
2ef000ff_372f45cc00000000_10000_0 | 372f45cc_1
3e000020_3eb5050a00000000_10000_0 | 3eb5050a_1
3e000040_3eb5052100000000_10000_0 | 3eb50521_1
3e000080_3eb5054e00000000_10000_0 | 3eb5054e_1
5f7e7fff_4f7f3fb800000000_10000_0 | 4f7f3fb8_1
3e000100_3eb505a900000000_10000_0 | 3eb505a9_1
3e000200_3eb5065e00000000_10000_0 | 3eb5065e_1
3e000400_3eb507c800000000_10000_0 | 3eb507c8_1
3e8f936e_3f07907f00000000_10000_0 | 3f07907f_1
3e000800_3eb50a9c00000000_10000_0 | 3eb50a9c_1
3e001000_3eb5104400000000_10000_0 | 3eb51044_1
3e002000_3eb51b9300000000_10000_0 | 3eb51b93_1
3e004000_3eb5322f00000000_10000_0 | 3eb5322f_1
3e008000_3eb55f6000000000_10000_0 | 3eb55f60_1
4e5b5354_46ecf44c00000000_10000_0 | 46ecf44c_1
3e010000_3eb5b99e00000000_10000_0 | 3eb5b99e_1
